IGSN;Parent_IGSN;Sample_name;Waypoint;Geoloc_name;Material;Nature;Class;Class_decontamination;Lithology;Lithology_simp;Pedology_SoilGroup;Pedology_SG_CSCS_2011;Pedology_SG_WRB_2006;X_WGS84;Y_WGS84;Z_Elevation_m;Country;Region;State.Province.Prefecture;City.Township;Catchment;River;Collection_method;Collection_depth_cm;Thickness_cm;Depth_min_cm;Depth_max_cm;LM_Subsoil_PrC;LM_Cropland_PrC;LM_Forest_PrC;Campaign;Field_program;Sampling_date;Collector;Collector_ORCID;Collector_address;Current_archive
IETGC001T;;FMS_0059;59;FMANS-19;Source;Soil;Cropland;Undecontaminated;Middle Terrace;Middle Terrace;I1;Brown Forest Soils;Cambisols, Stagnosols;140.701086;37.719141;464;Japan;Tohoku;Fukushima;iitate mura;Mano;Maeda;Grab;0-2;;;;;;;1;TOFU;2011_11_20;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC001V;;FMS_0060;60;;Source;Soil;Cropland;Undecontaminated;Non-Alkaline Mafic Volcanic Rocks;Non-Alkaline Mafic Volcanic Rocks;D6;Allophanic Andosols;Silandic Andosols;140.733434;37.733341;413;Japan;Tohoku;Fukushima;iitate mura;Mano;Maeda;Grab;0-2;;;;;;;1;TOFU;2011_11_20;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC001X;;FMS_0061;61;;Source;Soil;Cropland;Undecontaminated;Marine and Non-Marine Sediments;Marine and Non-Marine Sediments;F2;Gley Lowland Soils;Gleyic Fluvisols;140.722874;37.735462;412;Japan;Tohoku;Fukushima;iitate mura;Mano;Mano;Grab;0-2;;;;;;;1;TOFU;2011_11_20;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC001Z;;FMS_0062;62;FMANS-18;Source;Soil;Cropland;Undecontaminated;Non-Alkaline Mafic Volcanic Rocks;Non-Alkaline Mafic Volcanic Rocks;E2;Dystric Dark Red Soils;Alisols, Acrisols, Cambisols;140.726075;37.741994;421;Japan;Tohoku;Fukushima;iitate mura;Mano;Usu;Grab;0-2;;;;;;;1;TOFU;2011_11_20;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC003Q;;FMS_0110;110;FMANS-16;Source;Soil;Cropland;Undecontaminated;Non-Alkaline Mafic Volcanic Rocks;Non-Alkaline Mafic Volcanic Rocks;D6;Allophanic Andosols;Silandic Andosols;140.734301;37.736096;395;Japan;Tohoku;Fukushima;iitate mura;Mano;Mano;Grab;0-2;;;;;;;2;TOFU;2012_04_04;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00H5;;FMS_0707;707;FMANS-20;Source;Soil;Cropland;Undecontaminated;Granite (Abukuma Granite);Granite;D6;Allophanic Andosols;Silandic Andosols;140.688332;37.732263;496;Japan;Tohoku;Fukushima;iitate mura;Mano;Mano;Grab;0-2;;;;;;;8;TOFU;2015_03_24;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00H6;;FMS_0708;708;FMANS-18;Source;Soil;Forest;Forest;Non-Alkaline Mafic Volcanic Rocks;Non-Alkaline Mafic Volcanic Rocks;E2;Dystric Dark Red Soils;Alisols, Acrisols, Cambisols;140.725889;37.7424;431;Japan;Tohoku;Fukushima;iitate mura;Mano;Usu;Grab;0-2;;;;;;;8;TOFU;2015_03_24;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00HA;;FMS_0710;710;FMANS-15;Source;Soil;Forest;Forest;Non-Alkaline Mafic Volcanic Rocks;Non-Alkaline Mafic Volcanic Rocks;D6;Allophanic Andosols;Silandic Andosols;140.748389;37.739028;385;Japan;Tohoku;Fukushima;iitate mura;Mano;Mano;Grab;0-2;;;;;;;8;TOFU;2015_03_24;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00HC;;FMS_0711;711;;Source;Soil;Forest;Forest;Granite (Abukuma Granite);Granite;D6;Allophanic Andosols;Silandic Andosols;140.728778;37.722917;429;Japan;Tohoku;Fukushima;iitate mura;Mano;Maeda;Grab;0-2;;;;;;;8;TOFU;2015_03_24;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
IETGC00HF;;FMS_0712;712;;Source;Soil;Cropland;Undecontaminated;Granite (Abukuma Granite);Granite;D6;Allophanic Andosols;Silandic Andosols;140.711694;37.71925;457;Japan;Tohoku;Fukushima;iitate mura;Mano;Maeda;Grab;0-2;;;;;;;8;TOFU;2015_03_24;Olivier Evrard;0000-0002-3503-6543 ;olivier.evrard@lsce.ipsl.fr;LSCE, France
